mode,seed,steps,wall_sec,audio_sec,pred_frames_msg,used_seed,out_file
clone_caption,1234,24,21.97,5.36,,1234,v4py-clone_caption-seed1234-am020.wav
clone_caption,1235,24,21.46,5.36,,1235,v4py-clone_caption-seed1235-am020.wav
clone_caption,1236,24,21.46,5.36,,1236,v4py-clone_caption-seed1236-am020.wav
clone_caption,1237,24,21.25,5.36,,1237,v4py-clone_caption-seed1237-am020.wav
clone_caption,1238,24,21.4,5.36,,1238,v4py-clone_caption-seed1238-am020.wav
clone_caption,1239,24,21.28,5.36,,1239,v4py-clone_caption-seed1239-am020.wav
clone_caption,1240,24,21.23,5.36,,1240,v4py-clone_caption-seed1240-am020.wav
clone_caption,1241,24,21.41,5.36,,1241,v4py-clone_caption-seed1241-am020.wav
clone_caption,1242,24,21.19,5.36,,1242,v4py-clone_caption-seed1242-am020.wav
clone_caption,1243,24,21.18,5.36,,1243,v4py-clone_caption-seed1243-am020.wav
