mode,seed,steps,wall_sec,audio_sec,pred_frames_msg,used_seed,out_file
clone_caption,1234,24,25.74,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1234,v4py-clone_caption-seed1234.wav
clone_caption,1235,24,25.03,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1235,v4py-clone_caption-seed1235.wav
clone_caption,1236,24,24.92,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1236,v4py-clone_caption-seed1236.wav
clone_caption,1237,24,25.06,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1237,v4py-clone_caption-seed1237.wav
clone_caption,1238,24,24.9,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1238,v4py-clone_caption-seed1238.wav
clone_caption,1239,24,25.24,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1239,v4py-clone_caption-seed1239.wav
clone_caption,1240,24,25.49,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1240,v4py-clone_caption-seed1240.wav
clone_caption,1241,24,25.32,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1241,v4py-clone_caption-seed1241.wav
clone_caption,1242,24,25.26,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1242,v4py-clone_caption-seed1242.wav
clone_caption,1243,24,25.15,7.28,"info: predicted duration frames=182.5, scale=1.000, using_frames=182 (7.280s).",1243,v4py-clone_caption-seed1243.wav
