mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone_caption,1234,7.28,5,5.41,1.87,6.62,0.64,0.45,0.02,v4py-clone_caption-seed1234.wav,out\dur-C3\base\v4py-clone_caption-seed1234.wav
clone_caption,1235,7.28,5,5.27,2.01,7.0,0.26,0.63,0.02,v4py-clone_caption-seed1235.wav,out\dur-C3\base\v4py-clone_caption-seed1235.wav
clone_caption,1236,7.28,3,6.95,0.33,6.54,0.41,2.03,0.33,v4py-clone_caption-seed1236.wav,out\dur-C3\base\v4py-clone_caption-seed1236.wav
clone_caption,1237,7.28,4,4.59,2.69,5.33,1.93,0.74,0.02,v4py-clone_caption-seed1237.wav,out\dur-C3\base\v4py-clone_caption-seed1237.wav
clone_caption,1238,7.28,6,4.74,2.54,6.84,0.42,0.22,0.02,v4py-clone_caption-seed1238.wav,out\dur-C3\base\v4py-clone_caption-seed1238.wav
clone_caption,1239,7.28,4,4.79,2.49,5.44,1.62,0.65,0.22,v4py-clone_caption-seed1239.wav,out\dur-C3\base\v4py-clone_caption-seed1239.wav
clone_caption,1240,7.28,4,4.95,2.33,5.67,1.59,0.72,0.02,v4py-clone_caption-seed1240.wav,out\dur-C3\base\v4py-clone_caption-seed1240.wav
clone_caption,1241,7.28,3,7.26,0.02,5.83,1.43,1.37,0.02,v4py-clone_caption-seed1241.wav,out\dur-C3\base\v4py-clone_caption-seed1241.wav
clone_caption,1242,7.28,5,4.99,2.29,6.74,0.52,0.42,0.02,v4py-clone_caption-seed1242.wav,out\dur-C3\base\v4py-clone_caption-seed1242.wav
clone_caption,1243,7.28,5,4.66,2.62,6.68,0.58,0.49,0.02,v4py-clone_caption-seed1243.wav,out\dur-C3\base\v4py-clone_caption-seed1243.wav
clone_caption@a000,1234,5.56,3,5.11,0.45,3.93,1.18,0.27,0.45,v4py-clone_caption-seed1234-a000.wav,out\dur-C3\a000\v4py-clone_caption-seed1234-a000.wav
clone_caption@a000,1235,5.56,3,5.09,0.47,3.94,1.15,0.29,0.47,v4py-clone_caption-seed1235-a000.wav,out\dur-C3\a000\v4py-clone_caption-seed1235-a000.wav
clone_caption@a000,1236,5.56,2,4.48,1.08,2.78,1.7,0.24,1.08,v4py-clone_caption-seed1236-a000.wav,out\dur-C3\a000\v4py-clone_caption-seed1236-a000.wav
clone_caption@a000,1237,5.56,2,4.59,0.97,3.24,1.35,0.4,0.97,v4py-clone_caption-seed1237-a000.wav,out\dur-C3\a000\v4py-clone_caption-seed1237-a000.wav
clone_caption@a000,1238,5.56,3,5.11,0.45,3.86,1.25,0.39,0.45,v4py-clone_caption-seed1238-a000.wav,out\dur-C3\a000\v4py-clone_caption-seed1238-a000.wav
