mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone_caption@fin,1234,5.56,3,5.49,0.07,4.43,1.06,0.7,0.07,v4py-clone_caption-seed1234-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1234-fin.wav
clone_caption@fin,1235,5.56,3,5.51,0.05,4.21,1.3,0.28,0.05,v4py-clone_caption-seed1235-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1235-fin.wav
clone_caption@fin,1236,5.56,3,5.49,0.07,4.09,1.4,0.27,0.07,v4py-clone_caption-seed1236-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1236-fin.wav
clone_caption@fin,1237,5.56,3,5.48,0.08,4.19,1.29,0.45,0.08,v4py-clone_caption-seed1237-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1237-fin.wav
clone_caption@fin,1238,5.56,3,5.54,0.02,4.13,1.41,0.35,0.02,v4py-clone_caption-seed1238-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1238-fin.wav
clone_caption@fin,1239,5.56,3,5.46,0.1,4.09,1.37,0.43,0.1,v4py-clone_caption-seed1239-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1239-fin.wav
clone_caption@fin,1240,5.56,3,5.48,0.08,4.39,1.09,0.36,0.08,v4py-clone_caption-seed1240-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1240-fin.wav
clone_caption@fin,1241,5.56,3,5.54,0.02,4.34,1.2,0.41,0.02,v4py-clone_caption-seed1241-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1241-fin.wav
clone_caption@fin,1242,5.56,3,5.45,0.11,4.15,1.3,0.42,0.11,v4py-clone_caption-seed1242-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1242-fin.wav
clone_caption@fin,1243,5.56,3,5.54,0.02,4.38,1.16,0.56,0.02,v4py-clone_caption-seed1243-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1243-fin.wav
