mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone_caption@fin,1234,5.56,3,5.13,0.43,4.12,1.01,0.51,0.43,v4py-clone_caption-seed1234-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1234-fin.wav
clone_caption@fin,1234,5.56,3,5.11,0.45,3.94,1.17,0.28,0.45,v4py-clone_caption-seed1234-fin.wav,out\dur-FINAL\t1c1\v4py-clone_caption-seed1234-fin.wav
clone_caption@fin,1234,5.56,3,5.49,0.07,4.43,1.06,0.7,0.07,v4py-clone_caption-seed1234-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1234-fin.wav
clone_caption@fin,1235,5.56,3,5.12,0.44,4.19,0.93,0.57,0.44,v4py-clone_caption-seed1235-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1235-fin.wav
clone_caption@fin,1235,5.56,3,5.1,0.46,4.01,1.09,0.35,0.46,v4py-clone_caption-seed1235-fin.wav,out\dur-FINAL\t1c1\v4py-clone_caption-seed1235-fin.wav
clone_caption@fin,1235,5.56,3,5.51,0.05,4.21,1.3,0.28,0.05,v4py-clone_caption-seed1235-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1235-fin.wav
clone_caption@fin,1236,5.56,3,5.17,0.39,4.08,1.09,0.34,0.39,v4py-clone_caption-seed1236-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1236-fin.wav
clone_caption@fin,1236,5.56,3,5.14,0.42,4.02,1.12,0.44,0.42,v4py-clone_caption-seed1236-fin.wav,out\dur-FINAL\t1c1\v4py-clone_caption-seed1236-fin.wav
clone_caption@fin,1236,5.56,3,5.49,0.07,4.09,1.4,0.27,0.07,v4py-clone_caption-seed1236-fin.wav,out\dur-FINAL\t1c2\v4py-clone_caption-seed1236-fin.wav
clone_caption@fin,1237,5.56,3,5.14,0.42,4.11,1.03,0.55,0.42,v4py-clone_caption-seed1237-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1237-fin.wav
