mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone,1234,6.52,3,6.5,0.02,5.32,1.18,1.11,0.02,v4py-clone-seed1234.wav,out\dur-R2\base\v4py-clone-seed1234.wav
clone,1235,6.52,2,5.6,0.92,3.91,1.69,0.84,0.92,v4py-clone-seed1235.wav,out\dur-R2\base\v4py-clone-seed1235.wav
clone,1236,6.52,2,5.5,1.02,4.01,1.49,1.02,1.02,v4py-clone-seed1236.wav,out\dur-R2\base\v4py-clone-seed1236.wav
clone,1237,6.52,2,5.43,1.09,3.95,1.48,1.02,1.09,v4py-clone-seed1237.wav,out\dur-R2\base\v4py-clone-seed1237.wav
clone,1238,6.52,3,5.7,0.82,4.62,1.08,0.4,0.82,v4py-clone-seed1238.wav,out\dur-R2\base\v4py-clone-seed1238.wav
clone,1239,6.52,3,5.41,1.11,4.41,1.0,0.37,1.11,v4py-clone-seed1239.wav,out\dur-R2\base\v4py-clone-seed1239.wav
clone,1240,6.52,3,5.69,0.83,4.48,1.21,0.27,0.83,v4py-clone-seed1240.wav,out\dur-R2\base\v4py-clone-seed1240.wav
clone,1241,6.52,4,4.55,1.97,5.06,1.38,0.51,0.08,v4py-clone-seed1241.wav,out\dur-R2\base\v4py-clone-seed1241.wav
clone,1242,6.52,2,5.42,1.1,3.9,1.52,1.02,1.1,v4py-clone-seed1242.wav,out\dur-R2\base\v4py-clone-seed1242.wav
clone,1243,6.52,3,5.66,0.86,4.58,1.08,0.39,0.86,v4py-clone-seed1243.wav,out\dur-R2\base\v4py-clone-seed1243.wav
clone_caption,1234,6.24,3,5.79,0.45,4.69,1.1,0.94,0.45,v4py-clone_caption-seed1234.wav,out\dur-R2\base\v4py-clone_caption-seed1234.wav
clone_caption,1235,6.24,3,5.78,0.46,4.5,1.28,0.53,0.46,v4py-clone_caption-seed1235.wav,out\dur-R2\base\v4py-clone_caption-seed1235.wav
clone_caption,1236,6.24,3,5.78,0.46,4.74,1.04,0.72,0.46,v4py-clone_caption-seed1236.wav,out\dur-R2\base\v4py-clone_caption-seed1236.wav
clone_caption,1237,6.24,3,5.8,0.44,4.68,1.12,0.67,0.44,v4py-clone_caption-seed1237.wav,out\dur-R2\base\v4py-clone_caption-seed1237.wav
clone_caption,1238,6.24,3,5.83,0.41,4.64,1.19,0.62,0.41,v4py-clone_caption-seed1238.wav,out\dur-R2\base\v4py-clone_caption-seed1238.wav
clone_caption,1239,6.24,3,5.83,0.41,4.62,1.21,0.57,0.41,v4py-clone_caption-seed1239.wav,out\dur-R2\base\v4py-clone_caption-seed1239.wav
clone_caption,1240,6.24,3,5.82,0.42,4.64,1.18,0.52,0.42,v4py-clone_caption-seed1240.wav,out\dur-R2\base\v4py-clone_caption-seed1240.wav
clone_caption,1241,6.24,3,5.79,0.45,4.6,1.19,0.37,0.45,v4py-clone_caption-seed1241.wav,out\dur-R2\base\v4py-clone_caption-seed1241.wav
clone_caption,1242,6.24,3,5.82,0.42,4.7,1.12,0.78,0.42,v4py-clone_caption-seed1242.wav,out\dur-R2\base\v4py-clone_caption-seed1242.wav
clone_caption,1243,6.24,3,5.8,0.44,4.57,1.23,0.69,0.44,v4py-clone_caption-seed1243.wav,out\dur-R2\base\v4py-clone_caption-seed1243.wav
clone_caption@a040,1234,5.96,3,5.52,0.44,4.52,1.0,0.78,0.44,v4py-clone_caption-seed1234-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1234-a040.wav
clone_caption@a040,1235,5.96,3,5.61,0.35,4.5,1.11,0.44,0.35,v4py-clone_caption-seed1235-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1235-a040.wav
clone_caption@a040,1236,5.96,3,5.53,0.43,4.38,1.15,0.55,0.43,v4py-clone_caption-seed1236-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1236-a040.wav
clone_caption@a040,1237,5.96,3,5.53,0.43,4.39,1.14,0.68,0.43,v4py-clone_caption-seed1237-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1237-a040.wav
clone_caption@a040,1238,5.96,3,5.55,0.41,4.45,1.1,0.6,0.41,v4py-clone_caption-seed1238-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1238-a040.wav
clone_caption@a040,1239,5.96,3,5.54,0.42,4.42,1.12,0.71,0.42,v4py-clone_caption-seed1239-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1239-a040.wav
clone_caption@a040,1240,5.96,3,5.77,0.19,4.51,1.26,0.61,0.19,v4py-clone_caption-seed1240-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1240-a040.wav
clone_caption@a040,1241,5.96,3,5.52,0.44,4.41,1.11,0.58,0.44,v4py-clone_caption-seed1241-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1241-a040.wav
clone_caption@a040,1242,5.96,3,5.53,0.43,4.49,1.04,0.69,0.43,v4py-clone_caption-seed1242-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1242-a040.wav
clone_caption@a040,1243,5.96,3,5.52,0.44,4.39,1.13,0.53,0.44,v4py-clone_caption-seed1243-a040.wav,out\dur-R2\a040\v4py-clone_caption-seed1243-a040.wav
