mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone_caption@r2s,1234,8.04,3,6.99,1.05,5.63,1.36,0.83,1.05,v4py-clone_caption-seed1234-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1234-r2s.wav
clone_caption@r2s,1235,8.04,3,7.6,0.44,6.12,1.48,0.94,0.44,v4py-clone_caption-seed1235-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1235-r2s.wav
clone_caption@r2s,1236,8.04,3,6.92,1.12,5.51,1.41,0.99,1.12,v4py-clone_caption-seed1236-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1236-r2s.wav
clone_caption@r2s,1237,8.04,3,6.6,1.44,5.44,1.16,0.88,1.44,v4py-clone_caption-seed1237-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1237-r2s.wav
clone_caption@r2s,1238,8.04,3,6.86,1.18,5.48,1.38,0.77,1.18,v4py-clone_caption-seed1238-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1238-r2s.wav
clone_caption@r2s,1239,8.04,4,5.97,2.07,6.83,0.78,0.86,0.43,v4py-clone_caption-seed1239-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1239-r2s.wav
clone_caption@r2s,1240,8.04,3,7.47,0.57,5.97,1.5,0.9,0.57,v4py-clone_caption-seed1240-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1240-r2s.wav
clone_caption@r2s,1241,8.04,3,7.61,0.43,6.15,1.46,1.6,0.43,v4py-clone_caption-seed1241-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1241-r2s.wav
clone_caption@r2s,1242,8.04,4,5.18,2.86,6.06,1.41,0.88,0.57,v4py-clone_caption-seed1242-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1242-r2s.wav
clone_caption@r2s,1243,8.04,4,5.7,2.34,6.98,0.66,1.28,0.4,v4py-clone_caption-seed1243-r2s.wav,out\dur-REFLEN\r2s\v4py-clone_caption-seed1243-r2s.wav
clone_caption@r4s,1234,8.56,3,8.14,0.42,6.43,1.71,1.32,0.42,v4py-clone_caption-seed1234-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1234-r4s.wav
clone_caption@r4s,1235,8.56,4,5.31,3.25,6.71,1.42,1.4,0.43,v4py-clone_caption-seed1235-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1235-r4s.wav
clone_caption@r4s,1236,8.56,4,6.97,1.59,7.63,0.48,0.66,0.45,v4py-clone_caption-seed1236-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1236-r4s.wav
clone_caption@r4s,1237,8.56,5,4.82,3.74,7.48,0.63,0.82,0.45,v4py-clone_caption-seed1237-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1237-r4s.wav
clone_caption@r4s,1238,8.56,5,4.97,3.59,7.74,0.37,1.1,0.45,v4py-clone_caption-seed1238-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1238-r4s.wav
clone_caption@r4s,1239,8.56,4,5.06,3.5,6.39,1.72,1.33,0.45,v4py-clone_caption-seed1239-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1239-r4s.wav
clone_caption@r4s,1240,8.56,5,4.92,3.64,7.22,0.89,0.66,0.45,v4py-clone_caption-seed1240-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1240-r4s.wav
clone_caption@r4s,1241,8.56,5,4.9,3.66,6.78,1.35,0.43,0.43,v4py-clone_caption-seed1241-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1241-r4s.wav
clone_caption@r4s,1242,8.56,4,4.97,3.59,6.21,1.9,1.24,0.45,v4py-clone_caption-seed1242-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1242-r4s.wav
clone_caption@r4s,1243,8.56,4,5.51,3.05,7.04,1.08,1.53,0.44,v4py-clone_caption-seed1243-r4s.wav,out\dur-REFLEN\r4s\v4py-clone_caption-seed1243-r4s.wav
