mode,seed,steps,wall_sec,audio_sec,pred_frames_msg,used_seed,out_file
noref,1234,24,12.34,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1234,v4py-noref-seed1234.wav
noref,1235,24,12.03,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1235,v4py-noref-seed1235.wav
noref,1236,24,12.08,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1236,v4py-noref-seed1236.wav
noref,1237,24,12.05,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1237,v4py-noref-seed1237.wav
noref,1238,24,12.08,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1238,v4py-noref-seed1238.wav
noref,1239,24,11.96,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1239,v4py-noref-seed1239.wav
noref,1240,24,12.15,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1240,v4py-noref-seed1240.wav
noref,1241,24,12.06,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1241,v4py-noref-seed1241.wav
noref,1242,24,12.01,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1242,v4py-noref-seed1242.wav
noref,1243,24,12.17,3.76,"info: predicted duration frames=93.5, scale=1.000, using_frames=94 (3.760s).",1243,v4py-noref-seed1243.wav
clone,1234,24,16.12,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1234,v4py-clone-seed1234.wav
clone,1235,24,16.01,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1235,v4py-clone-seed1235.wav
clone,1236,24,15.91,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1236,v4py-clone-seed1236.wav
clone,1237,24,16.09,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1237,v4py-clone-seed1237.wav
clone,1238,24,16.27,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1238,v4py-clone-seed1238.wav
clone,1239,24,16.02,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1239,v4py-clone-seed1239.wav
clone,1240,24,16.13,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1240,v4py-clone-seed1240.wav
clone,1241,24,15.97,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1241,v4py-clone-seed1241.wav
clone,1242,24,15.92,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1242,v4py-clone-seed1242.wav
clone,1243,24,15.84,3.8,"info: predicted duration frames=94.8, scale=1.000, using_frames=95 (3.800s).",1243,v4py-clone-seed1243.wav
clone_caption,1234,24,21.05,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1234,v4py-clone_caption-seed1234.wav
clone_caption,1235,24,20.6,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1235,v4py-clone_caption-seed1235.wav
clone_caption,1236,24,20.65,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1236,v4py-clone_caption-seed1236.wav
clone_caption,1237,24,20.78,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1237,v4py-clone_caption-seed1237.wav
clone_caption,1238,24,20.83,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1238,v4py-clone_caption-seed1238.wav
clone_caption,1239,24,20.8,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1239,v4py-clone_caption-seed1239.wav
clone_caption,1240,24,20.93,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1240,v4py-clone_caption-seed1240.wav
clone_caption,1241,24,20.71,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1241,v4py-clone_caption-seed1241.wav
clone_caption,1242,24,20.71,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1242,v4py-clone_caption-seed1242.wav
clone_caption,1243,24,20.62,4.6,"info: predicted duration frames=115.2, scale=1.000, using_frames=115 (4.600s).",1243,v4py-clone_caption-seed1243.wav
