mode,seed,steps,wall_sec,audio_sec,pred_frames_msg,used_seed,out_file
clone_caption,1234,24,36.95,10.75,,1234,v4py-clone_caption-seed1234-p1075.wav
clone_caption,1235,24,36.93,10.75,,1235,v4py-clone_caption-seed1235-p1075.wav
clone_caption,1236,24,36.44,10.75,,1236,v4py-clone_caption-seed1236-p1075.wav
clone_caption,1237,24,36.45,10.75,,1237,v4py-clone_caption-seed1237-p1075.wav
clone_caption,1238,24,36.46,10.75,,1238,v4py-clone_caption-seed1238-p1075.wav
clone_caption,1239,24,36.55,10.75,,1239,v4py-clone_caption-seed1239-p1075.wav
clone_caption,1240,24,36.54,10.75,,1240,v4py-clone_caption-seed1240-p1075.wav
clone_caption,1241,24,36.96,10.75,,1241,v4py-clone_caption-seed1241-p1075.wav
clone_caption,1242,24,37.06,10.75,,1242,v4py-clone_caption-seed1242-p1075.wav
clone_caption,1243,24,36.33,10.75,,1243,v4py-clone_caption-seed1243-p1075.wav
