mode,seed,steps,wall_sec,audio_sec,pred_frames_msg,used_seed,out_file
clone_caption,1234,24,27.87,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1234,v4py-clone_caption-seed1234.wav
clone_caption,1235,24,28.82,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1235,v4py-clone_caption-seed1235.wav
clone_caption,1236,24,25.68,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1236,v4py-clone_caption-seed1236.wav
clone_caption,1237,24,23.99,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1237,v4py-clone_caption-seed1237.wav
clone_caption,1238,24,24.16,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1238,v4py-clone_caption-seed1238.wav
clone_caption,1239,24,23.66,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1239,v4py-clone_caption-seed1239.wav
clone_caption,1240,24,24.21,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1240,v4py-clone_caption-seed1240.wav
clone_caption,1241,24,24.74,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1241,v4py-clone_caption-seed1241.wav
clone_caption,1242,24,23.98,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1242,v4py-clone_caption-seed1242.wav
clone_caption,1243,24,24.2,7.96,"info: predicted duration frames=198.7, scale=1.000, using_frames=199 (7.960s).",1243,v4py-clone_caption-seed1243.wav
clone,1234,24,19.89,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1234,v4py-clone-seed1234.wav
clone,1235,24,19.86,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1235,v4py-clone-seed1235.wav
clone,1236,24,20.03,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1236,v4py-clone-seed1236.wav
clone,1237,24,19.75,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1237,v4py-clone-seed1237.wav
clone,1238,24,19.68,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1238,v4py-clone-seed1238.wav
clone,1239,24,20.33,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1239,v4py-clone-seed1239.wav
clone,1240,24,20.02,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1240,v4py-clone-seed1240.wav
clone,1241,24,20.02,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1241,v4py-clone-seed1241.wav
clone,1242,24,20.1,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1242,v4py-clone-seed1242.wav
clone,1243,24,19.99,7.44,"info: predicted duration frames=186.2, scale=1.000, using_frames=186 (7.440s).",1243,v4py-clone-seed1243.wav
caption,1234,24,19.26,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1234,v4py-caption-seed1234.wav
caption,1235,24,18.63,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1235,v4py-caption-seed1235.wav
caption,1236,24,20.64,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1236,v4py-caption-seed1236.wav
caption,1237,24,17.03,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1237,v4py-caption-seed1237.wav
caption,1238,24,17.05,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1238,v4py-caption-seed1238.wav
caption,1239,24,16.67,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1239,v4py-caption-seed1239.wav
caption,1240,24,16.86,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1240,v4py-caption-seed1240.wav
caption,1241,24,17.05,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1241,v4py-caption-seed1241.wav
caption,1242,24,16.83,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1242,v4py-caption-seed1242.wav
caption,1243,24,17.44,6.96,"info: predicted duration frames=174.4, scale=1.000, using_frames=174 (6.960s).",1243,v4py-caption-seed1243.wav
noref,1234,24,12.55,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1234,v4py-noref-seed1234.wav
noref,1235,24,12.2,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1235,v4py-noref-seed1235.wav
noref,1236,24,12.32,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1236,v4py-noref-seed1236.wav
noref,1237,24,12.22,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1237,v4py-noref-seed1237.wav
noref,1238,24,12.07,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1238,v4py-noref-seed1238.wav
noref,1239,24,12.34,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1239,v4py-noref-seed1239.wav
noref,1240,24,12.31,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1240,v4py-noref-seed1240.wav
noref,1241,24,12.65,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1241,v4py-noref-seed1241.wav
noref,1242,24,12.04,5.56,"info: predicted duration frames=138.8, scale=1.000, using_frames=139 (5.560s).",1242,v4py-noref-seed1242.wav
