mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
caption,1234,6.96,3,6.94,0.02,5.64,1.3,0.95,0.02,v4py-caption-seed1234.wav,out\python-sweep\v4py-caption-seed1234.wav
caption,1235,6.96,3,6.54,0.42,5.39,1.15,0.84,0.42,v4py-caption-seed1235.wav,out\python-sweep\v4py-caption-seed1235.wav
caption,1236,6.96,3,6.52,0.44,5.11,1.41,0.6,0.44,v4py-caption-seed1236.wav,out\python-sweep\v4py-caption-seed1236.wav
caption,1237,6.96,3,6.53,0.43,5.25,1.28,0.83,0.43,v4py-caption-seed1237.wav,out\python-sweep\v4py-caption-seed1237.wav
caption,1238,6.96,3,6.56,0.4,5.31,1.25,1.05,0.4,v4py-caption-seed1238.wav,out\python-sweep\v4py-caption-seed1238.wav
caption,1239,6.96,3,6.53,0.43,5.12,1.41,0.8,0.43,v4py-caption-seed1239.wav,out\python-sweep\v4py-caption-seed1239.wav
caption,1240,6.96,3,6.53,0.43,5.34,1.19,1.07,0.43,v4py-caption-seed1240.wav,out\python-sweep\v4py-caption-seed1240.wav
caption,1241,6.96,3,6.55,0.41,5.32,1.23,0.8,0.41,v4py-caption-seed1241.wav,out\python-sweep\v4py-caption-seed1241.wav
caption,1242,6.96,3,6.53,0.43,5.32,1.21,0.99,0.43,v4py-caption-seed1242.wav,out\python-sweep\v4py-caption-seed1242.wav
caption,1243,6.96,3,6.94,0.02,5.45,1.49,1.05,0.02,v4py-caption-seed1243.wav,out\python-sweep\v4py-caption-seed1243.wav
clone,1234,7.44,3,6.28,1.16,5.02,1.26,0.28,1.16,v4py-clone-seed1234.wav,out\python-sweep\v4py-clone-seed1234.wav
clone,1235,7.44,3,6.26,1.18,4.94,1.32,0.37,1.18,v4py-clone-seed1235.wav,out\python-sweep\v4py-clone-seed1235.wav
clone,1236,7.44,3,6.24,1.2,5.13,1.11,0.6,1.2,v4py-clone-seed1236.wav,out\python-sweep\v4py-clone-seed1236.wav
clone,1237,7.44,3,6.28,1.16,5.04,1.24,0.42,1.16,v4py-clone-seed1237.wav,out\python-sweep\v4py-clone-seed1237.wav
clone,1238,7.44,3,6.26,1.18,5.09,1.17,0.43,1.18,v4py-clone-seed1238.wav,out\python-sweep\v4py-clone-seed1238.wav
clone,1239,7.44,4,4.94,2.5,5.96,0.98,1.02,0.5,v4py-clone-seed1239.wav,out\python-sweep\v4py-clone-seed1239.wav
clone,1240,7.44,3,6.38,1.06,5.34,1.04,0.48,1.06,v4py-clone-seed1240.wav,out\python-sweep\v4py-clone-seed1240.wav
clone,1241,7.44,3,6.32,1.12,4.97,1.35,0.42,1.12,v4py-clone-seed1241.wav,out\python-sweep\v4py-clone-seed1241.wav
clone,1242,7.44,3,6.29,1.15,4.97,1.32,0.42,1.15,v4py-clone-seed1242.wav,out\python-sweep\v4py-clone-seed1242.wav
clone,1243,7.44,3,6.23,1.21,4.85,1.38,0.42,1.21,v4py-clone-seed1243.wav,out\python-sweep\v4py-clone-seed1243.wav
