mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone_caption@fin,1234,5.56,3,5.13,0.43,4.12,1.01,0.51,0.43,v4py-clone_caption-seed1234-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1234-fin.wav
clone_caption@fin,1235,5.56,3,5.12,0.44,4.19,0.93,0.57,0.44,v4py-clone_caption-seed1235-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1235-fin.wav
clone_caption@fin,1236,5.56,3,5.17,0.39,4.08,1.09,0.34,0.39,v4py-clone_caption-seed1236-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1236-fin.wav
clone_caption@fin,1237,5.56,3,5.14,0.42,4.11,1.03,0.55,0.42,v4py-clone_caption-seed1237-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1237-fin.wav
clone_caption@fin,1238,5.56,4,5.15,0.41,5.38,0.16,0.23,0.02,v4py-clone_caption-seed1238-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1238-fin.wav
clone_caption@fin,1239,5.56,3,5.14,0.42,4.02,1.12,0.4,0.42,v4py-clone_caption-seed1239-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1239-fin.wav
clone_caption@fin,1240,5.56,3,5.14,0.42,4.19,0.95,0.65,0.42,v4py-clone_caption-seed1240-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1240-fin.wav
clone_caption@fin,1241,5.56,3,5.13,0.43,4.02,1.11,0.33,0.43,v4py-clone_caption-seed1241-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1241-fin.wav
clone_caption@fin,1242,5.56,3,5.16,0.4,4.17,0.99,0.6,0.4,v4py-clone_caption-seed1242-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1242-fin.wav
clone_caption@fin,1243,5.56,3,5.16,0.4,4.12,1.04,0.71,0.4,v4py-clone_caption-seed1243-fin.wav,out\dur-FINAL\r2\v4py-clone_caption-seed1243-fin.wav
