mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone,1234,7.44,3,6.28,1.16,5.02,1.26,0.28,1.16,v4py-clone-seed1234.wav,out\dur-T1\base\v4py-clone-seed1234.wav
clone,1235,7.44,3,6.26,1.18,4.94,1.32,0.37,1.18,v4py-clone-seed1235.wav,out\dur-T1\base\v4py-clone-seed1235.wav
clone,1236,7.44,3,6.24,1.2,5.13,1.11,0.6,1.2,v4py-clone-seed1236.wav,out\dur-T1\base\v4py-clone-seed1236.wav
clone,1237,7.44,3,6.28,1.16,5.04,1.24,0.42,1.16,v4py-clone-seed1237.wav,out\dur-T1\base\v4py-clone-seed1237.wav
clone,1238,7.44,3,6.26,1.18,5.09,1.17,0.43,1.18,v4py-clone-seed1238.wav,out\dur-T1\base\v4py-clone-seed1238.wav
clone,1239,7.44,4,4.94,2.5,5.96,0.98,1.02,0.5,v4py-clone-seed1239.wav,out\dur-T1\base\v4py-clone-seed1239.wav
clone,1240,7.44,3,6.38,1.06,5.34,1.04,0.48,1.06,v4py-clone-seed1240.wav,out\dur-T1\base\v4py-clone-seed1240.wav
clone,1241,7.44,3,6.32,1.12,4.97,1.35,0.42,1.12,v4py-clone-seed1241.wav,out\dur-T1\base\v4py-clone-seed1241.wav
clone,1242,7.44,3,6.29,1.15,4.97,1.32,0.42,1.15,v4py-clone-seed1242.wav,out\dur-T1\base\v4py-clone-seed1242.wav
clone,1243,7.44,3,6.23,1.21,4.85,1.38,0.42,1.21,v4py-clone-seed1243.wav,out\dur-T1\base\v4py-clone-seed1243.wav
clone_caption,1234,7.96,3,7.52,0.44,6.24,1.28,1.39,0.44,v4py-clone_caption-seed1234.wav,out\dur-T1\base\v4py-clone_caption-seed1234.wav
clone_caption,1235,7.96,4,5.3,2.66,7.0,0.53,1.7,0.43,v4py-clone_caption-seed1235.wav,out\dur-T1\base\v4py-clone_caption-seed1235.wav
clone_caption,1236,7.96,4,5.33,2.63,6.95,0.55,1.62,0.46,v4py-clone_caption-seed1236.wav,out\dur-T1\base\v4py-clone_caption-seed1236.wav
clone_caption,1237,7.96,5,4.81,3.15,6.93,0.6,0.28,0.43,v4py-clone_caption-seed1237.wav,out\dur-T1\base\v4py-clone_caption-seed1237.wav
clone_caption,1238,7.96,4,4.95,3.01,6.34,1.18,1.39,0.44,v4py-clone_caption-seed1238.wav,out\dur-T1\base\v4py-clone_caption-seed1238.wav
clone_caption,1239,7.96,4,5.04,2.92,6.23,1.27,1.19,0.46,v4py-clone_caption-seed1239.wav,out\dur-T1\base\v4py-clone_caption-seed1239.wav
clone_caption,1240,7.96,4,4.95,3.01,6.19,1.32,1.24,0.45,v4py-clone_caption-seed1240.wav,out\dur-T1\base\v4py-clone_caption-seed1240.wav
clone_caption,1241,7.96,4,5.15,2.81,6.22,1.3,1.07,0.44,v4py-clone_caption-seed1241.wav,out\dur-T1\base\v4py-clone_caption-seed1241.wav
clone_caption,1242,7.96,4,4.89,3.07,6.22,1.29,1.33,0.45,v4py-clone_caption-seed1242.wav,out\dur-T1\base\v4py-clone_caption-seed1242.wav
clone_caption,1243,7.96,4,5.51,2.45,6.99,0.51,1.48,0.46,v4py-clone_caption-seed1243.wav,out\dur-T1\base\v4py-clone_caption-seed1243.wav
