mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone,1234,3.8,3,1.63,2.17,2.46,0.5,0.83,0.84,v4py-clone-seed1234.wav,out\dur-T2\base\v4py-clone-seed1234.wav
clone,1235,3.8,2,2.66,1.14,2.1,0.56,0.49,1.14,v4py-clone-seed1235.wav,out\dur-T2\base\v4py-clone-seed1235.wav
clone,1236,3.8,2,2.79,1.01,2.14,0.65,0.53,1.01,v4py-clone-seed1236.wav,out\dur-T2\base\v4py-clone-seed1236.wav
clone,1237,3.8,2,2.74,1.06,2.08,0.66,0.46,1.06,v4py-clone-seed1237.wav,out\dur-T2\base\v4py-clone-seed1237.wav
clone,1238,3.8,2,2.67,1.13,2.07,0.6,0.47,1.13,v4py-clone-seed1238.wav,out\dur-T2\base\v4py-clone-seed1238.wav
clone,1239,3.8,2,2.71,1.09,2.06,0.65,0.46,1.09,v4py-clone-seed1239.wav,out\dur-T2\base\v4py-clone-seed1239.wav
clone,1240,3.8,3,1.72,2.08,2.42,0.63,0.7,0.75,v4py-clone-seed1240.wav,out\dur-T2\base\v4py-clone-seed1240.wav
clone,1241,3.8,2,2.79,1.01,2.12,0.67,0.54,1.01,v4py-clone-seed1241.wav,out\dur-T2\base\v4py-clone-seed1241.wav
clone,1242,3.8,2,2.84,0.96,2.2,0.64,0.55,0.96,v4py-clone-seed1242.wav,out\dur-T2\base\v4py-clone-seed1242.wav
clone,1243,3.8,3,1.54,2.26,1.94,1.35,0.4,0.51,v4py-clone-seed1243.wav,out\dur-T2\base\v4py-clone-seed1243.wav
clone_caption,1234,4.6,3,2.96,1.64,3.29,0.32,0.33,0.99,v4py-clone_caption-seed1234.wav,out\dur-T2\base\v4py-clone_caption-seed1234.wav
clone_caption,1235,4.6,3,2.5,2.1,4.23,0.35,1.73,0.02,v4py-clone_caption-seed1235.wav,out\dur-T2\base\v4py-clone_caption-seed1235.wav
clone_caption,1236,4.6,3,2.49,2.11,3.34,1.24,0.85,0.02,v4py-clone_caption-seed1236.wav,out\dur-T2\base\v4py-clone_caption-seed1236.wav
clone_caption,1237,4.6,4,2.09,2.51,3.94,0.61,0.29,0.05,v4py-clone_caption-seed1237.wav,out\dur-T2\base\v4py-clone_caption-seed1237.wav
clone_caption,1238,4.6,4,2.63,1.97,4.04,0.54,0.54,0.02,v4py-clone_caption-seed1238.wav,out\dur-T2\base\v4py-clone_caption-seed1238.wav
clone_caption,1239,4.6,4,2.44,2.16,4.4,0.18,0.65,0.02,v4py-clone_caption-seed1239.wav,out\dur-T2\base\v4py-clone_caption-seed1239.wav
clone_caption,1240,4.6,2,3.52,1.08,2.59,0.93,0.93,1.08,v4py-clone_caption-seed1240.wav,out\dur-T2\base\v4py-clone_caption-seed1240.wav
clone_caption,1241,4.6,4,2.78,1.82,4.08,0.31,0.24,0.21,v4py-clone_caption-seed1241.wav,out\dur-T2\base\v4py-clone_caption-seed1241.wav
clone_caption,1242,4.6,3,3.56,1.04,4.23,0.35,0.67,0.02,v4py-clone_caption-seed1242.wav,out\dur-T2\base\v4py-clone_caption-seed1242.wav
clone_caption,1243,4.6,2,2.59,2.01,1.94,0.65,0.41,2.01,v4py-clone_caption-seed1243.wav,out\dur-T2\base\v4py-clone_caption-seed1243.wav
